id_cliente,data_contratacao,idade,sexo,regiao,renda_mensal,classe_social,score_interno,canal_aquisicao,num_emprestimos_anteriores,tempo_relacionamento_dias,possui_restricao,valor_solicitado,prazo_meses,taxa_juros_am,valor_parcela,comprometimento_renda,finalidade,dias_atraso_max,inadimplente_90d
CLI000001,2024-11-13,28,F,Sul,3134,C,633,Parceiro Marketplace A,0,33,0,2950,3,0.0676,1119.18,0.357,Emergência,30,0
CLI000002,2023-11-10,19,M,Sul,3608,C,424,Site,4,405,1,900,12,0.0797,119.24,0.033,Emergência,5,0
CLI000003,2024-01-13,51,M,Sudeste,1976,D,523,Parceiro Marketplace B,0,9,1,800,6,0.1555,214.53,0.109,Emergência,170,1
CLI000004,2024-05-09,54,F,Sudeste,1027,D,631,Mídia Paga,1,362,0,500,12,0.1782,103.58,0.101,Pagar dívidas,15,0
CLI000005,2024-05-12,58,F,Sudeste,3621,C,554,Parceiro Marketplace A,1,409,0,2050,6,0.0846,449.65,0.124,Consumo,15,0
CLI000006,2023-09-25,68,F,Sudeste,1121,D,674,Parceiro Marketplace B,2,189,0,2700,12,0.0818,361.63,0.323,Saúde,0,0
CLI000007,2024-11-15,44,M,Sudeste,1982,D,384,App Próprio,3,597,0,600,9,0.0798,95.97,0.048,Reforma,118,1
CLI000008,2023-12-21,61,M,Centro-Oeste,1544,D,568,Mídia Paga,2,89,0,500,6,0.0653,103.38,0.067,Pagar dívidas,15,0
CLI000009,2024-09-14,55,M,Sudeste,1435,D,475,App Próprio,2,821,0,2750,3,0.1609,1226.27,0.855,Emergência,15,0
CLI000010,2024-11-11,32,F,Sudeste,2371,C,554,App Próprio,1,821,0,2050,12,0.1212,332.79,0.14,Reforma,0,0
CLI000011,2024-03-22,62,F,Sul,1906,D,459,Site,0,15,0,2900,9,0.0996,502.76,0.264,Consumo,15,0
CLI000012,2023-07-24,20,M,Nordeste,2134,D,584,Mídia Paga,2,68,0,2200,3,0.0851,861.54,0.404,Saúde,115,1
CLI000013,2023-11-30,49,F,Sudeste,1221,D,431,Parceiro Marketplace A,0,55,1,2350,12,0.081,313.45,0.257,Saúde,0,0
CLI000014,2023-11-16,67,M,Sudeste,1599,D,448,Site,0,58,1,1500,6,0.0732,317.81,0.199,Emergência,5,0
CLI000015,2023-12-10,52,F,Centro-Oeste,1245,D,591,Parceiro Marketplace A,1,380,0,850,3,0.1399,366.06,0.294,Emergência,0,0
CLI000016,2023-11-03,67,F,Sudeste,1582,D,643,App Próprio,1,684,0,1800,6,0.1391,461.74,0.292,Consumo,30,0
CLI000017,2024-03-29,20,F,Nordeste,1636,D,356,App Próprio,0,37,0,1200,12,0.0753,155.38,0.095,Pagar dívidas,5,0
CLI000018,2024-10-23,46,F,Sul,3732,C,586,App Próprio,0,6,0,1500,6,0.0854,329.81,0.088,Pagar dívidas,0,0
CLI000019,2023-10-05,59,M,Sudeste,1542,D,233,Mídia Paga,0,23,1,1650,9,0.1582,355.94,0.231,Pagar dívidas,104,1
CLI000020,2024-05-02,52,F,Sul,800,D,139,Indicação,4,647,1,250,6,0.1241,61.51,0.077,Saúde,0,0
CLI000021,2024-04-05,64,M,Sudeste,3090,C,840,Site,3,468,0,1900,3,0.0813,738.99,0.239,Pagar dívidas,0,0
CLI000022,2024-06-14,42,M,Sudeste,2077,D,446,App Próprio,1,240,0,1200,3,0.1382,515.32,0.248,Saúde,147,1
CLI000023,2024-09-24,54,M,Sudeste,1628,D,462,Mídia Paga,0,6,0,2450,12,0.161,473.38,0.291,Reforma,0,0
CLI000024,2023-08-19,40,M,Centro-Oeste,1431,D,236,Parceiro Marketplace A,1,265,1,350,3,0.0994,140.59,0.098,Pagar dívidas,5,0
CLI000025,2023-11-05,64,M,Sudeste,1156,D,509,App Próprio,1,569,0,1750,12,0.1514,324.77,0.281,Emergência,0,0
CLI000026,2024-01-19,24,M,Sudeste,3882,C,513,Parceiro Marketplace A,2,866,1,1200,6,0.1609,326.44,0.084,Educação,0,0
CLI000027,2024-05-28,31,F,Centro-Oeste,1758,D,510,Mídia Paga,1,466,1,450,12,0.1017,66.59,0.038,Reforma,0,0
CLI000028,2023-10-14,23,F,Sudeste,829,D,411,Indicação,1,639,0,1350,3,0.1709,611.87,0.738,Reforma,5,0
CLI000029,2024-03-12,55,M,Norte,1974,D,372,App Próprio,0,59,1,1350,6,0.1083,317.55,0.161,Pagar dívidas,119,1
CLI000030,2024-05-06,30,F,Nordeste,2854,C,526,Parceiro Marketplace B,1,750,1,2300,3,0.0728,880.91,0.309,Pagar dívidas,0,0
CLI000031,2024-05-02,34,F,Nordeste,1837,D,599,Indicação,1,519,0,650,6,0.1509,172.17,0.094,Consumo,5,0
CLI000032,2024-08-31,62,M,Sul,1178,D,593,Site,2,418,0,2550,12,0.0809,339.95,0.289,Saúde,0,0
